Metric,Group,Condition,Mean,Median,Std Dev,IQR,Min,Max
bleu_score,SSP,Novel,0.042767316817438575,0.04189399747299033,0.0146947588594953,0.016611353916014926,0.013111733062190328,0.09247869021001623
bleu_score,SSP,Base,0.03849598567259671,0.03736471842457685,0.013513058063666494,0.019836518043170603,0.009279992150164123,0.07472094833505666
bleu_score,CEP,Novel,0.05345933855942451,0.054825966890757395,0.01787071302321437,0.021539166216481012,0.017295172540857863,0.0964241224088784
bleu_score,CEP,Base,0.04807811812741572,0.04877003150296954,0.01597105010183456,0.02186160514792132,0.016101574382446564,0.09013015778954919
bleu_score,CT,Novel,0.04914056758301437,0.047298292974399844,0.016028260285375715,0.0244141909930368,0.01444730816167476,0.08771657827563975
bleu_score,CT,Base,0.041617578276261134,0.042169281539173584,0.01370088594075477,0.018861612102721248,0.014426100674418003,0.08249498563720019
bleu_score,EXP,Novel,0.04600951944805949,0.04300335979400512,0.017471524747574848,0.024830098616750104,0.01615669772682133,0.09957208263666957
bleu_score,EXP,Base,0.05439219846812415,0.05426801739048935,0.019120355273770376,0.027550359358861853,0.013320068643306949,0.10914826711491261
bleu_score,POP,Novel,0.046727767984500686,0.044340881478216465,0.0170654237263981,0.018214260108131146,0.016504560420502197,0.09594549718942844
bleu_score,POP,Base,0.048419400192161996,0.04985017052821014,0.01809516005363014,0.02811633244018176,0.014465296405237676,0.09059946061245677
bleu_score,PSP,Novel,0.05194968115362246,0.04635151679487726,0.02038239041632058,0.017892524005841917,0.017447410716820135,0.12021375424159585
bleu_score,PSP,Base,0.056887539125878545,0.05504535106066048,0.02170671350850946,0.022780268824792102,0.019306879349381852,0.12695220878646293
rouge_1,SSP,Novel,0.47632208569256923,0.48320224376562404,0.0515976119366093,0.06141770750563097,0.34906367041198505,0.5834502103786817
rouge_1,SSP,Base,0.471190977932418,0.4770578402725498,0.0381002323509782,0.054279080483401076,0.38709677419354843,0.5551443375277573
rouge_1,CEP,Novel,0.5031186459399326,0.5058487532920614,0.034263776981525204,0.04232130047915855,0.4121306376360809,0.5682492581602374
rouge_1,CEP,Base,0.5018980475869114,0.5060911565147392,0.03308429721332199,0.03652392794301229,0.38902340597255847,0.5743243243243242
rouge_1,CT,Novel,0.5131212345922902,0.511758541516943,0.03822885618569315,0.05087155586908565,0.42760690172543137,0.6076742364917777
rouge_1,CT,Base,0.5015800225426305,0.5034472763903144,0.037847183313152795,0.04234492245005406,0.40753424657534243,0.5919732441471571
rouge_1,EXP,Novel,0.46524274022879,0.45478294314848267,0.04024790314185806,0.04798416495793839,0.3885109599395314,0.5763508222396242
rouge_1,EXP,Base,0.4985905444624518,0.4927063385110055,0.042983587800547125,0.06170832810043475,0.39165911151405264,0.6045694200351494
rouge_1,POP,Novel,0.4863825191038133,0.4842633560060754,0.05626600872187512,0.050434261825907434,0.3543586109142452,0.6123316796598157
rouge_1,POP,Base,0.48520879236624304,0.4844758466484207,0.05588058811813113,0.06245651700404181,0.340014847809948,0.5908440629470673
rouge_1,PSP,Novel,0.49778024714950897,0.49885763182859827,0.03112059998303601,0.04057346410935103,0.4087837837837837,0.5650438946528332
rouge_1,PSP,Base,0.5135990031829694,0.5165894201429955,0.030199165263496714,0.03933134088487922,0.442429737080689,0.597682119205298
rouge_2,SSP,Novel,0.12945454779541887,0.12856364250324348,0.028857453482701755,0.03337494486416437,0.0690172543135784,0.19280380176510525
rouge_2,SSP,Base,0.12355972055580972,0.1210027266113185,0.026770247072403767,0.04001935245142263,0.06265060240963856,0.18821729150726857
rouge_2,CEP,Novel,0.13973674335543515,0.14186408859506278,0.0299766570314219,0.03400825954242648,0.08040935672514621,0.22192513368983957
rouge_2,CEP,Base,0.13490031272883918,0.1370914494669963,0.02710873577079128,0.036977318152934174,0.07602792862684252,0.19215155615696886
rouge_2,CT,Novel,0.14127362229774432,0.14361907554189582,0.027454613056561317,0.03349183633445128,0.072,0.2094081942336874
rouge_2,CT,Base,0.1260214464291482,0.1262859992519636,0.02247392457208603,0.02474667092187509,0.07705192629815746,0.1884498480243161
rouge_2,EXP,Novel,0.12448759002324568,0.11856272047874428,0.029776477954816503,0.02787078590256531,0.07846556233653008,0.2138047138047138
rouge_2,EXP,Base,0.1393407086286455,0.13292730040433984,0.029765582815318884,0.03555579767386191,0.09151414309484193,0.22399999999999998
rouge_2,POP,Novel,0.1285979378003814,0.12397350313238165,0.03193972265647364,0.04090006944546967,0.063875088715401,0.20483641536273114
rouge_2,POP,Base,0.13083106684179685,0.13060461874546897,0.03261248398655573,0.05136797046172094,0.05813953488372092,0.2087912087912088
rouge_2,PSP,Novel,0.13824534780826228,0.13172685560053982,0.02617260591438947,0.030424942206590408,0.08967851099830795,0.22697126013264557
rouge_2,PSP,Base,0.14085457678620225,0.13298192490739075,0.02632482530607506,0.03165298159018069,0.09690230341540905,0.2192468619246862
rouge_L,SSP,Novel,0.17505055506132394,0.17217975009767555,0.018751118993963863,0.02154344974993322,0.13632958801498127,0.23210562890896458
rouge_L,SSP,Base,0.17555977736440342,0.17483910139647846,0.015978331450459963,0.01889393650616958,0.14113873295910181,0.22102009273570325
rouge_L,CEP,Novel,0.17864562960192568,0.1781706627061777,0.02145781334862358,0.027141396497845055,0.13636363636363638,0.22600408441116404
rouge_L,CEP,Base,0.1782607037555836,0.17498868356587496,0.017031230768159357,0.021882981886359704,0.14612676056338028,0.22100205902539463
rouge_L,CT,Novel,0.17446476325448007,0.17350890354429235,0.015106533966208703,0.020330950288574567,0.14883148831488316,0.21926389976507438
rouge_L,CT,Base,0.17046570696385044,0.16908232722473143,0.014315701374058732,0.018059161556615605,0.14231642694928082,0.21739130434782608
rouge_L,EXP,Novel,0.17236874714239295,0.1672379613652231,0.019478798789382648,0.019728228953547783,0.13810741687979539,0.24369747899159663
rouge_L,EXP,Base,0.18299795037598518,0.17994306936197657,0.016793259552781954,0.023236928784107852,0.14664310954063603,0.23188405797101447
rouge_L,POP,Novel,0.169900180849771,0.17069207670022152,0.01871839796143203,0.019744757088261566,0.125,0.21805054151624548
rouge_L,POP,Base,0.17435392576093545,0.17128958450447251,0.022548182611724903,0.030963478871329775,0.12769485903814262,0.22525597269624575
rouge_L,PSP,Novel,0.19176011593595532,0.18976652961484825,0.02470876226521685,0.03428257162252554,0.14710485133020346,0.26195732155997054
rouge_L,PSP,Base,0.19734406451595946,0.19763456519175254,0.024317648460667602,0.033877166791602686,0.15445232466509065,0.26094137076796037
context_similarity,SSP,Novel,0.9352432030439377,0.9366603493690491,0.012205303988187359,0.018104955554008484,0.9043099880218506,0.9554660320281982
context_similarity,SSP,Base,0.932338085770607,0.9329290986061096,0.014657989688092956,0.01814284920692444,0.8830528259277344,0.9574711322784424
context_similarity,CEP,Novel,0.9479401403665543,0.9524421989917755,0.014459803844438873,0.019258767366409302,0.9142224788665771,0.9710788726806641
context_similarity,CEP,Base,0.9431043303012848,0.9448961615562439,0.01375115933489634,0.01713496446609497,0.9004623889923096,0.9683653116226196
context_similarity,CT,Novel,0.9397355669736862,0.942785918712616,0.014265708037159989,0.016723304986953735,0.9010693430900574,0.9738394021987915
context_similarity,CT,Base,0.9358931624889374,0.9379695057868958,0.014850827664327763,0.020811066031455994,0.9012501239776611,0.9701318740844727
context_similarity,EXP,Novel,0.9425801217556,0.942852258682251,0.012566864748807036,0.01643708348274231,0.906948447227478,0.970303475856781
context_similarity,EXP,Base,0.9415544241666793,0.9417381882667542,0.016132392707360773,0.022840827703475952,0.8986842632293701,0.9730743169784546
context_similarity,POP,Novel,0.9442284196615219,0.945028156042099,0.011333373690847711,0.014314696192741394,0.9135876893997192,0.9707868099212646
context_similarity,POP,Base,0.9390082061290741,0.9418946504592896,0.015519788569831222,0.02090241014957428,0.8938414454460144,0.963747501373291
context_similarity,PSP,Novel,0.94549840092659,0.9477180540561676,0.012797554173009843,0.016289666295051575,0.8872663378715515,0.9696961641311646
context_similarity,PSP,Base,0.9447898536920547,0.9449023902416229,0.011052624167323423,0.013589680194854736,0.9102880954742432,0.968916654586792
