Metric,Prompt ID,Condition,Mean,Median,Std Dev,IQR,Min,Max
rouge_1,CEP4,Base,0.5130926051678684,0.5059310744008877,0.02632484769946963,0.028621724920073144,0.4720692368214005,0.553623188405797
rouge_1,CEP5,Novel,0.4909352760716258,0.4915288696123611,0.030930181290051324,0.029264055788513932,0.4393939393939394,0.5378514780100937
rouge_1,CEP5,Base,0.4836008270046527,0.4849686410360911,0.029175040188970894,0.029197313838376926,0.4298642533936652,0.5324180015255531
rouge_1,CEP6,Novel,0.4399598058777646,0.44176906337238697,0.01954819731972144,0.030208054176071752,0.4121306376360809,0.46981818181818186
rouge_1,CEP6,Base,0.4387901618289532,0.43834870566409423,0.026611290109839314,0.025727388728631784,0.38902340597255847,0.48270787343635024
rouge_1,CEP7,Novel,0.516296010656906,0.5097599577947771,0.011717153111392419,0.022050775529995126,0.5043478260869566,0.5318352059925093
rouge_1,CEP7,Base,0.5074215741804026,0.5112187666986003,0.013727577659223758,0.017721506308913504,0.47927031509121065,0.5246671887235709
rouge_1,CEP8,Novel,0.47709144326840225,0.47579258976317795,0.019129009644818604,0.03360725783302598,0.4512987012987013,0.5026902382782475
rouge_1,CEP8,Base,0.5008696309156312,0.5004612959057813,0.016630018320803994,0.015989904807361344,0.4630281690140845,0.5238095238095237
rouge_1,CEP9,Novel,0.5056909911954575,0.5077551038141208,0.017155753842689858,0.012112928550144675,0.4650077760497667,0.5250737463126843
rouge_1,CEP9,Base,0.5058986077281699,0.5110031773881227,0.021156186140366115,0.027844051312943763,0.46897663174858983,0.5389221556886228
rouge_1,CEP10,Novel,0.5468078419288925,0.551181353697275,0.015658109872363588,0.021321791112354882,0.5218702865761689,0.5682492581602374
rouge_1,CEP10,Base,0.537630105496657,0.5364782214880864,0.013925826790683053,0.02042787120365608,0.5120385232744783,0.5542359461599365
rouge_1,CT1,Novel,0.4498696069818367,0.44458608831690183,0.020430211629422573,0.026562398601583437,0.42760690172543137,0.49076923076923074
rouge_1,CT1,Base,0.4431699649649631,0.4418252325084623,0.017807805362919718,0.013088073188306182,0.40753424657534243,0.4700460829493087
rouge_1,CT2,Novel,0.5105103212055775,0.5088392895017952,0.01976454885417642,0.020119169218707156,0.47860768672951415,0.5468013468013468
rouge_1,CT2,Base,0.5014555055564969,0.49834095429292213,0.016636036956012977,0.021113868557744442,0.48301886792452836,0.53276955602537
rouge_1,CT3,Novel,0.5273662011679645,0.5243798062583481,0.020748335481335055,0.030418950848428272,0.49621785173978816,0.5655799848369978
rouge_1,CT3,Base,0.5286406785727067,0.5342474501004728,0.020457252373603577,0.03052226171720973,0.49382716049382713,0.554290053151101
rouge_1,CT4,Novel,0.5086075518126634,0.5107183157350264,0.01723159554897533,0.01667268635419339,0.4812985179957657,0.53625170998632
rouge_1,CT4,Base,0.5014175666163692,0.5014716116188571,0.01622420511648082,0.01798091295148302,0.4663133989401968,0.523598820058997
rouge_1,CT5,Novel,0.5461915670213128,0.5451363654133967,0.017502024327607554,0.015737974221121775,0.5117605131860299,0.5771905424200278
rouge_1,CT5,Base,0.5162432724216515,0.5162504276428328,0.018653521473473027,0.0261589034070957,0.4809941520467836,0.5408895265423241
rouge_1,CT6,Novel,0.5023546120638503,0.5104131880454993,0.030135577947440033,0.037635775052738074,0.44047619047619047,0.5353319057815846
rouge_1,CT6,Base,0.4881643670708418,0.4905017582197829,0.0246930287900199,0.013554437784734863,0.42506350550381033,0.5128205128205128
rouge_1,CT7,Novel,0.481613912106457,0.4807964685865296,0.009242762785218694,0.009454422857481604,0.4672897196261683,0.5015216068167986
rouge_1,CT7,Base,0.4638365311817655,0.4653896818818225,0.025965152564713125,0.029463988572748623,0.42810242941562704,0.5144972239358421
rouge_1,CT8,Novel,0.5329059505186284,0.5370012015997417,0.02404046892339467,0.032049687634641,0.49287749287749283,0.5702702702702702
rouge_1,CT8,Base,0.5215717940451634,0.5194182579103861,0.017547581117047125,0.020918852481180306,0.4860088365243005,0.5440874914559125
rouge_1,CT9,Novel,0.4998604803999732,0.5012826477714472,0.016815380039592816,0.026945646693919634,0.47746243739565947,0.5224489795918368
rouge_1,CT9,Base,0.49293477605552116,0.49711748562807273,0.03463388307582243,0.04226562291318148,0.4537968892955169,0.5650623885918004
rouge_1,CT10,Novel,0.5719321426446381,0.5759195911256201,0.027541845908348888,0.04306896655103132,0.53125,0.6076742364917777
rouge_1,CT10,Base,0.5583657689408262,0.5681690457457569,0.024603102987032402,0.029269059871327774,0.5163511187607573,0.5919732441471571
rouge_1,EXP1,Novel,0.4394046560410846,0.4453504443309431,0.018481114179284552,0.013293053694191204,0.3955669224211424,0.45799011532125206
rouge_1,EXP1,Base,0.4683420663341905,0.4701928011960814,0.01682316763322383,0.024018702633973432,0.4387096774193549,0.48817407757805104
rouge_1,EXP2,Novel,0.4276647228410016,0.4336728127098832,0.017768457731914603,0.016588385122495997,0.3885109599395314,0.44930707512764406
rouge_1,EXP2,Base,0.44216763454953034,0.45037523202274454,0.0214460620797102,0.0115066524710149,0.39165911151405264,0.45879732739420936
rouge_1,EXP3,Novel,0.43330147811147235,0.43595726486077635,0.020896088748103094,0.027636698267797133,0.3989681857265692,0.46740858505564387
rouge_1,EXP3,Base,0.4710027325607394,0.4788229892507967,0.017183367181992842,0.015737541730186155,0.4395198522622345,0.4852282900626679
rouge_1,EXP4,Novel,0.45233256428976765,0.4454596772623752,0.021124212807988447,0.02944357601302161,0.4276315789473685,0.4854070660522274
rouge_1,EXP4,Base,0.5126553056163325,0.5097421949552816,0.030939328000720273,0.03169715826145825,0.46495726495726497,0.5670367207514946
rouge_1,EXP5,Novel,0.46766372520345173,0.46958573770393364,0.01976718109652876,0.016113288919622215,0.42310821806346627,0.49413604378420645
rouge_1,EXP5,Base,0.4727800434724509,0.47318274527944826,0.017189860648366567,0.019026298720568435,0.44626743232157506,0.5048543689320388
rouge_1,EXP6,Novel,0.48859739786138495,0.49357733911973317,0.02022243769108283,0.02753024126433068,0.44928751047778714,0.5173807599029911
rouge_1,EXP6,Base,0.5189623559555805,0.5164743900858235,0.015500842861548236,0.022446664280888817,0.4919499105545617,0.5410544511668107
rouge_1,EXP7,Novel,0.542844978082703,0.5372662359741585,0.01700829835531223,0.01385532353503205,0.51869918699187,0.5763508222396242
rouge_1,EXP7,Base,0.569465753844895,0.5679391852349241,0.01608883811186029,0.015883886736067998,0.5523978685612789,0.6045694200351494
rouge_1,EXP8,Novel,0.43184930955773115,0.436250121939323,0.028326546295943576,0.03722647198486301,0.38990426457789384,0.4771748492678725
rouge_1,EXP8,Base,0.4837194543865425,0.4927063385110055,0.022014140880517584,0.024923052189999073,0.44141689373297005,0.5117029862792575
rouge_1,EXP9,Novel,0.4957754321857112,0.5041418230621988,0.027800997086610622,0.04060120159448527,0.43969204448246363,0.529657477025898
rouge_1,EXP9,Base,0.5505668416093614,0.5616818247866635,0.026507805186352335,0.04036199624399528,0.509952606635071,0.5815217391304348
rouge_1,EXP10,Novel,0.4729931381135909,0.4769262844174665,0.018424201550998102,0.02666022812865204,0.4420731707317073,0.4996191926884996
rouge_1,EXP10,Base,0.49624325629489474,0.4959690316546772,0.026276235090557244,0.03285940432247153,0.4593220338983051,0.5408708938120703
rouge_1,POP1,Novel,0.45960265464273153,0.46354587323239826,0.025336810360909037,0.0400783487747739,0.42527881040892196,0.4966936076414401
rouge_1,POP1,Base,0.46650889946428437,0.46714022052801274,0.014990622303463545,0.01085392869613011,0.44165435745937964,0.4884437596302003
rouge_1,POP2,Novel,0.47239694888061046,0.47781391971226816,0.0274263889683054,0.02719562238563683,0.41666666666666663,0.5078014184397164
rouge_1,POP2,Base,0.4568884436366045,0.4572152091544335,0.01632054244596205,0.014881872095247939,0.43206751054852316,0.4846093133385951
rouge_1,POP3,Novel,0.487748030570616,0.4862333770368983,0.015325606253832162,0.013969125766961188,0.4703389830508475,0.5222841225626741
rouge_1,POP3,Base,0.47128323138405664,0.4675473961823645,0.026734559738085677,0.02176125569783982,0.4370761115297664,0.5246575342465754
rouge_1,POP4,Novel,0.37867644849781784,0.37529313557504196,0.022642085101190035,0.02027966139707449,0.3543586109142452,0.423728813559322
rouge_1,POP4,Base,0.3693831692788529,0.3725922767944279,0.017482794533584485,0.02092483981125781,0.340014847809948,0.3970370370370371
rouge_1,POP5,Novel,0.4644544090641064,0.4682459594463372,0.014875975529366925,0.023421248620178525,0.44128646222887064,0.4868327402135232
rouge_1,POP5,Base,0.47315461198589226,0.4754882492701518,0.026257816006652553,0.02587518241938558,0.4348561759729273,0.5213068181818182
rouge_1,POP6,Novel,0.48618838563983885,0.49744530464612546,0.027042693071735315,0.024878186351397602,0.4353846153846154,0.512743628185907
rouge_1,POP6,Base,0.5206523487576377,0.5129234995421625,0.024737177999191576,0.03406979181710679,0.48869565217391303,0.5619335347432024
rouge_1,POP7,Novel,0.5780721254049395,0.5838104286327326,0.024681436012403107,0.04002830319743955,0.5436746987951807,0.6123316796598157
rouge_1,POP7,Base,0.570908218564924,0.5819994463721593,0.024946350500273565,0.016094451321668868,0.5080988917306053,0.5908440629470673
rouge_1,POP8,Novel,0.5578800095130447,0.5619453109994449,0.01769642149187297,0.022002523530938012,0.5263157894736843,0.5833935018050541
rouge_1,POP8,Base,0.5337383442226667,0.5374644206210618,0.01885090409139373,0.023776235593224282,0.503903477643719,0.5608540925266904
rouge_1,POP9,Novel,0.4732078918391605,0.47825071460900415,0.022807730193358498,0.016519496887690777,0.4244791666666667,0.5131744040150564
rouge_1,POP9,Base,0.4925218041611158,0.4976762746089571,0.030457426840482305,0.0258975933191104,0.4314827828531272,0.5339087546239211
rouge_1,POP10,Novel,0.5055982869852681,0.5057961957032499,0.014948544505433998,0.019194427010288673,0.4818325434439178,0.5325355272999253
rouge_1,POP10,Base,0.4970488522063955,0.5007545622693828,0.026072783071426128,0.0399341131048887,0.45904298459042986,0.5298446443172526
rouge_1,PSP1,Novel,0.5033374706769463,0.49847246977081033,0.019608689507426526,0.02476379904955428,0.47685834502103785,0.5412234042553191
rouge_1,PSP1,Base,0.505533591637396,0.508032827730998,0.02102697982943821,0.03377968993091324,0.47711927981995494,0.5413223140495868
rouge_1,PSP2,Novel,0.5087412143113933,0.5068930859123025,0.02616859813132326,0.04157255213842237,0.47923322683706066,0.5469696969696971
rouge_1,PSP2,Base,0.5269982757850227,0.5248398441212813,0.01889944998835647,0.01967111620810358,0.496551724137931,0.5606837606837606
rouge_1,PSP3,Novel,0.5119582462415894,0.5097745797249108,0.01837415644178295,0.0216475130872561,0.482922954725973,0.5431711145996859
rouge_1,PSP3,Base,0.545051954970239,0.5420855313360537,0.027872578491353238,0.02785883203850792,0.5042301184433164,0.5928449744463372
rouge_1,PSP4,Novel,0.5082702809436069,0.5095732359883304,0.02377327003572284,0.01837795446981305,0.46080760095011875,0.5445180279617367
rouge_1,PSP4,Base,0.5307967215822307,0.5354052055673622,0.018113155996237473,0.020023047070536704,0.49074818986323415,0.5497076023391813
rouge_1,PSP5,Novel,0.5343486882780517,0.5356965279394029,0.02177265400227976,0.030736225703817288,0.49598715890850725,0.5650438946528332
rouge_1,PSP5,Base,0.5483464464769557,0.5464448572876204,0.023406249224573024,0.027450530426252784,0.5165675446049278,0.597682119205298
rouge_1,PSP6,Novel,0.48824021193683736,0.4809852552931231,0.022144305160472527,0.025482834530009046,0.4616564417177914,0.5249621785173978
rouge_1,PSP6,Base,0.4997091709033759,0.49916933724248963,0.015044791751324173,0.02520000000052125,0.48021108179419525,0.5201716738197425
rouge_1,PSP7,Novel,0.5055018656834626,0.5059070121951219,0.019172292823973695,0.02482428393905961,0.4755592377796189,0.532671629445823
rouge_1,PSP7,Base,0.5030469085861479,0.5057511570706279,0.023362689853703524,0.039784127437612005,0.4687782805429864,0.5295675198587819
rouge_1,PSP8,Novel,0.4945227287935465,0.4905213105409144,0.022691785570717722,0.03303493810894825,0.46009389671361495,0.5296442687747036
rouge_1,PSP8,Base,0.5109953033716101,0.5072840284818334,0.015955165984050057,0.02020295818008966,0.48512173128944996,0.5382674516400336
rouge_1,PSP9,Novel,0.4827694478906829,0.4833420853025264,0.019193526936877953,0.022037751754936774,0.45544554455445546,0.5209003215434084
rouge_1,PSP9,Base,0.4973425072355976,0.49909157016983685,0.018557535245807145,0.02508588894434366,0.4607508532423208,0.517766497461929
rouge_1,PSP10,Novel,0.44011231673897405,0.4430212019866562,0.018497250968472025,0.020577138876053613,0.4087837837837837,0.4737704918032787
rouge_1,PSP10,Base,0.46816915128111825,0.4720500822550132,0.01533132902611177,0.016911688830993976,0.442429737080689,0.48724714160070354
rouge_2,SSP1,Novel,0.1714655378503698,0.18070771722457116,0.021997069509289247,0.042122270957218655,0.14002828854314,0.19280380176510525
rouge_2,SSP1,Base,0.16254945221992087,0.15927246662685818,0.013445925821766054,0.015914626265353227,0.14814814814814814,0.18821729150726857
rouge_2,SSP2,Novel,0.16017821387054043,0.1585470585195922,0.010060887860869226,0.012213378358038096,0.1427475057559478,0.17807211184694624
rouge_2,SSP2,Base,0.1412506443433384,0.14371974318184416,0.01720015668090456,0.018448567991101117,0.11389521640091116,0.1732283464566929
rouge_2,SSP3,Novel,0.14955777454847374,0.14881710410519233,0.014886417085441576,0.024886483697640682,0.12907702984038863,0.16774193548387095
rouge_2,SSP3,Base,0.14097464013020602,0.1431406380118328,0.017368672764845314,0.02176071828573997,0.11068991660348748,0.16878267363704258
rouge_2,SSP4,Novel,0.08816798710498874,0.08920320837890691,0.012739910396965017,0.015101594705458146,0.0690172543135784,0.11031518624641834
rouge_2,SSP4,Base,0.1058998165915439,0.1087654483880899,0.012316107862795538,0.011996465872767509,0.08435582822085891,0.12088752869166029
rouge_2,SSP5,Novel,0.1225430553183896,0.12105583831924738,0.005557570096166969,0.008497909204847581,0.11569148936170212,0.13057961359093936
rouge_2,SSP5,Base,0.10648400809537777,0.10852357042243205,0.013284506046848969,0.0246094655342754,0.08642911296436696,0.12163202463433409
rouge_2,SSP6,Novel,0.12459090080412794,0.12141280353200883,0.01240502797572349,0.011094797342957943,0.11363636363636363,0.15494978479196553
rouge_2,SSP6,Base,0.10643960927399834,0.11312756933115824,0.019328093887634713,0.024633829502775456,0.06265060240963856,0.12333333333333335
rouge_2,SSP7,Novel,0.1207309265003547,0.12129014798916124,0.00942559408360259,0.013051225720883852,0.10267534345625451,0.1332398316970547
rouge_2,SSP7,Base,0.11658516307508053,0.11510610768966961,0.00827651866159542,0.008449226368572496,0.10432190760059613,0.13166666666666668
rouge_2,SSP8,Novel,0.14088841842584285,0.14100301014530453,0.008052073013435572,0.01178350673849693,0.12765957446808512,0.15184678522571818
rouge_2,SSP8,Base,0.15076900994121706,0.15331971590802615,0.011202828201426974,0.010458120072103644,0.13271400132714,0.1697860962566845
rouge_2,SSP9,Novel,0.12828807936624256,0.12579769919929915,0.014984872379254761,0.019747932368179927,0.09916094584286804,0.14685844057532174
rouge_2,SSP9,Base,0.11813420486323536,0.11980081437188772,0.01830361770514855,0.01635446149014627,0.08538587848932677,0.14803149606299212
rouge_2,SSP10,Novel,0.08813458416485834,0.08708983864340941,0.008226420044228749,0.009378899895620185,0.07442596991290579,0.10120481927710843
rouge_2,SSP10,Base,0.08651065702417908,0.08651564364770156,0.008338117034682162,0.012373383451533188,0.07407407407407408,0.09802371541501977
rouge_2,CEP1,Novel,0.19555118908088692,0.1953971153972789,0.012765621043475627,0.014818523831274799,0.17753120665742025,0.22192513368983957
rouge_2,CEP1,Base,0.16792692572124915,0.16900245342589834,0.01813293367466509,0.016326687025913583,0.1264933239634575,0.19215155615696886
rouge_2,CEP2,Novel,0.1468735117087438,0.146080034801377,0.008901021457018867,0.00770675325918041,0.13295210864903503,0.1659259259259259
rouge_2,CEP2,Base,0.15527977239144494,0.15393706443971739,0.018329011432229276,0.02167929707661309,0.11993243243243244,0.18580060422960723
rouge_2,CEP3,Novel,0.14317650300474544,0.14297257845897193,0.011107383427036285,0.014733516228004284,0.12536023054755044,0.16113074204946998
rouge_2,CEP3,Base,0.1323154946505104,0.13170473973572322,0.01515189171600985,0.024124280793483596,0.11173974540311175,0.1574344023323615
rouge_2,CEP4,Novel,0.14981411379339657,0.15096978855032214,0.015898289687313688,0.028597929316209192,0.12781954887218047,0.1701818181818182
rouge_2,CEP4,Base,0.16214431987213523,0.15612287220003424,0.016546777617619808,0.02336536853722443,0.13711583924349882,0.18523878437047758
rouge_2,CEP5,Novel,0.13630362264942128,0.13599152796997127,0.01679450295563843,0.01868005895320614,0.11782708492731446,0.16424418604651164
rouge_2,CEP5,Base,0.12628839125748187,0.12843605866323315,0.01800686575496345,0.014612347843226556,0.08761329305135951,0.15584415584415584
rouge_2,CEP6,Novel,0.0879175981133557,0.08719935052332621,0.006127939968261033,0.008843417728790978,0.08040935672514621,0.10050983248361252
rouge_2,CEP6,Base,0.09150651689240316,0.08894518723540398,0.01237134971212603,0.018735850956354355,0.07602792862684252,0.11201179071481208
rouge_2,CEP7,Novel,0.1297516369610145,0.12940483470812378,0.012644908573834046,0.01274252752821034,0.10373760488176964,0.15135929463629685
rouge_2,CEP7,Base,0.10886807295999253,0.1092151584178919,0.012630497350558871,0.021009396160954236,0.0946843853820598,0.13185067513899917
rouge_2,CEP8,Novel,0.10601835174325566,0.10931485758275597,0.010735548085832297,0.013284020270448185,0.08702290076335877,0.1167192429022082
rouge_2,CEP8,Base,0.11767155368933421,0.11424243889076877,0.012353452797271115,0.008141507523895752,0.10562770562770563,0.1490312965722802
rouge_2,CEP9,Novel,0.14346979299876428,0.14694421577994432,0.012989037201396991,0.007712530925468392,0.11059190031152646,0.15657311669128507
rouge_2,CEP9,Base,0.14125676848068827,0.14267960705408922,0.009663143574954961,0.0097261526423085,0.11887550200803212,0.15291445874337622
rouge_2,CEP10,Novel,0.1584911135007674,0.1579064905987983,0.009046551707524777,0.011499375248374355,0.1430745814307458,0.1716417910447761
rouge_2,CEP10,Base,0.14574531137315178,0.1477801136880618,0.009706189907786218,0.012567397765374272,0.12740989103101422,0.16
rouge_2,CT1,Novel,0.09468928336432055,0.09725975106705759,0.011410066576964167,0.008702877093345052,0.072,0.1152073732718894
rouge_2,CT1,Base,0.09139059966059007,0.08642342624491074,0.01291460839123527,0.016130133583203157,0.07705192629815746,0.11538461538461538
rouge_2,CT2,Novel,0.1439840224678638,0.14452558063746015,0.011583123408592404,0.005671599359416607,0.12200435729847495,0.15988973121984837
rouge_2,CT2,Base,0.1257192801407538,0.12925206155201696,0.011117299201568195,0.009637875512310226,0.1,0.13797722705961152
rouge_2,CT3,Novel,0.1796531816629296,0.17813876392307765,0.019669731899082988,0.03129789752213674,0.15420200462606012,0.2094081942336874
rouge_2,CT3,Base,0.16126333499327164,0.16494515894371817,0.0161174754751354,0.02070695958832086,0.13601236476043277,0.1884498480243161
rouge_2,CT4,Novel,0.13637023783679053,0.14115657051744349,0.013470230467262156,0.024059721682327617,0.11731448763250882,0.1547945205479452
rouge_2,CT4,Base,0.1140243673541961,0.11491646467015926,0.01548402367570008,0.02450025471848373,0.09097801364670205,0.13530326594090203
rouge_2,CT5,Novel,0.14999906053075207,0.1521896748038049,0.013664981339068578,0.012542766142906836,0.1270521056388294,0.17966573816155987
rouge_2,CT5,Base,0.1360561012494301,0.1401064432572446,0.012370105671934053,0.016173211180711883,0.11712379540400297,0.1527377521613833
rouge_2,CT6,Novel,0.1407580317907738,0.14013103666258314,0.021073806100093313,0.03063604283001839,0.11177347242921014,0.17340191036002942
rouge_2,CT6,Base,0.1275573721064515,0.1262859992519636,0.00965462068965027,0.010606596349400338,0.11535199321458865,0.14411529223378702
rouge_2,CT7,Novel,0.11356703394797622,0.11287559779719007,0.007405211246549195,0.009719689791357913,0.10344827586206896,0.12431444241316272
rouge_2,CT7,Base,0.10945560255792394,0.10863518047523468,0.014422727096940811,0.019048034681721157,0.08768536428110897,0.1358863495985176
rouge_2,CT8,Novel,0.14000763016455647,0.1379846676957932,0.01215008157530485,0.018358972855203715,0.12268188302425106,0.16102841677943167
rouge_2,CT8,Base,0.12763415474786993,0.12623751816413584,0.010642265644511296,0.011360221355493735,0.11061946902654868,0.1453529000698812
rouge_2,CT9,Novel,0.14447196388367,0.14689465113046407,0.01010725438688494,0.014808359981208497,0.12709030100334448,0.15737704918032788
rouge_2,CT9,Base,0.13004638377703445,0.12715653955345724,0.018529165171968922,0.01956147253142279,0.10740740740740742,0.17142857142857146
rouge_2,CT10,Novel,0.16923577732781003,0.1745021261516655,0.02491295945273567,0.02032880782350982,0.12363067292644755,0.20149253731343286
rouge_2,CT10,Base,0.13706726770396055,0.13924725747584088,0.020165890834552492,0.027567516252547344,0.10510046367851623,0.1658291457286432
rouge_2,EXP1,Novel,0.11020893398709745,0.1117505072294973,0.01054029328395813,0.010459124289114066,0.09393680614859096,0.1248986212489862
